Millis,Roll,Pitch,Yaw,Altitude,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Pressure
4947,-81.69,-132.25,258.81,0.30,-9.47,-1.01,-1.76,1.19,7.81,3.19,42.06,7.69,21.75,835.26
5060,-81.44,-135.94,258.94,0.46,-9.04,-1.03,-0.75,4.38,5.13,4.38,41.50,7.50,21.00,835.24
5169,-81.19,-136.44,259.38,0.61,-9.05,-0.94,-1.14,4.25,0.56,-3.06,40.75,8.56,23.75,835.25
5277,-81.19,-135.38,259.00,0.01,-10.09,-1.53,-0.95,5.25,3.75,2.38,39.25,8.88,23.37,835.22
5392,-81.19,-137.56,258.63,1.82,-9.41,-1.12,-0.70,5.19,0.12,-2.38,40.50,8.00,23.06,835.18
5502,-81.25,-136.94,259.00,0.61,-9.25,-1.09,-0.11,7.94,-2.75,-3.75,40.88,8.00,21.87,835.21
5613,-81.06,-133.88,260.69,0.31,-9.64,-1.26,-0.85,5.75,1.56,6.75,40.50,8.00,22.25,835.21
5724,-81.37,-131.50,261.56,0.76,-9.48,-1.10,-0.83,0.94,-3.13,4.00,39.38,9.06,24.00,835.19
5832,-81.81,-131.19,260.88,0.47,-9.53,-1.24,-0.80,0.69,-2.81,-0.81,39.75,9.19,23.37,835.16
5941,-81.87,-129.81,260.81,0.76,-9.42,-1.10,-0.66,-0.63,-5.50,-2.88,41.00,8.75,23.06,835.22
6057,-82.12,-125.69,260.69,0.76,-9.51,-0.99,-0.70,-9.56,-5.38,2.13,40.88,8.88,21.06,835.15
6168,-82.44,-120.56,260.06,0.62,-9.39,-1.09,-0.57,-2.38,-11.94,-8.56,41.69,8.06,20.69,835.19
6281,-82.06,-105.56,261.06,0.76,-8.80,-1.58,0.24,18.37,-37.31,-23.37,41.38,8.88,20.69,835.16
6391,-81.81,-85.81,262.00,1.38,-9.76,-1.44,0.70,19.44,-16.25,1.44,42.75,10.38,19.06,835.19
6502,-81.12,-71.50,263.88,0.76,-9.57,-1.52,0.77,5.50,-14.63,-9.19,43.75,10.69,17.87,835.16
6615,-80.00,-63.94,265.00,0.47,-9.51,-1.89,0.79,24.00,-20.75,-14.00,42.69,11.00,14.50,835.19
6727,-77.75,-57.25,266.69,0.92,-9.51,-1.60,1.08,1.75,-19.00,-7.06,45.56,13.19,15.19,835.18
6836,-75.94,-48.44,266.38,0.32,-9.38,-1.94,2.22,-5.69,-37.44,3.50,43.75,13.50,12.06,835.18
6944,-72.00,-36.75,267.00,0.62,-8.98,-2.17,3.57,11.13,-74.81,-26.31,45.56,13.06,8.75,835.21
7055,-65.06,-29.94,269.69,0.77,-8.29,-2.23,4.60,26.50,-54.94,-14.13,44.88,15.00,3.06,835.22
7165,-58.50,-24.50,271.88,0.63,-8.23,-2.10,5.01,27.37,-45.06,11.44,46.38,16.56,-3.06,835.16
7278,-51.94,-18.50,272.56,0.78,-6.90,-2.03,6.38,11.81,-84.87,-8.94,44.25,16.69,-7.56,835.15
7387,-42.25,-15.44,3.31,0.92,-5.43,-1.51,8.37,18.44,-94.56,-24.50,41.38,17.06,-14.00,835.18
7495,-28.44,-10.50,5.56,0.33,-5.79,-0.35,11.02,-22.25,-113.50,69.00,35.75,16.75,-25.00,835.21
7606,-15.44,-4.88,3.88,0.94,-3.80,-2.00,10.16,-21.06,-44.69,21.31,28.00,14.25,-34.25,835.18
7712,-11.31,-3.94,1.06,0.49,-2.12,-0.97,10.44,-10.50,-38.38,42.31,22.00,11.06,-36.75,835.16
7819,-6.81,-2.88,356.88,0.34,-1.02,-0.67,9.38,21.56,-63.06,41.81,22.56,8.06,-39.25,835.13
7929,-0.94,-1.12,352.56,1.71,-0.34,-0.18,10.29,20.06,-37.44,25.62,18.75,6.00,-41.06,835.18
8038,3.00,0.25,350.38,0.49,0.79,0.16,10.23,-3.88,-51.31,17.75,13.00,4.56,-42.06,835.18
8140,9.63,0.37,349.19,1.10,1.69,-0.04,10.52,25.94,-97.31,-0.88,8.19,1.88,-43.19,835.22
8247,19.19,3.50,348.69,0.96,3.71,0.76,9.72,11.81,-67.12,11.63,0.56,0.19,-42.88,835.18
8353,27.56,5.00,347.44,1.26,4.23,0.67,8.99,9.38,-67.75,16.37,-5.00,-2.56,-44.56,835.16
8462,34.38,4.50,346.06,1.56,5.63,0.44,8.58,-19.37,-61.75,10.88,-9.69,-2.88,-43.38,835.13
8572,40.38,1.94,345.13,1.72,6.22,0.24,7.01,19.19,-70.94,20.56,-14.75,-1.06,-42.19,835.16
8679,46.81,1.37,73.44,-0.24,6.95,0.29,6.04,14.88,-83.37,11.56,-18.56,0.00,-41.06,835.16
8785,54.06,0.00,72.37,0.51,8.26,0.15,6.29,13.31,-62.63,5.31,-25.56,-0.37,-35.56,835.22
8890,59.13,1.37,71.94,0.97,8.27,0.34,4.75,7.94,-52.13,-8.56,-27.87,-0.19,-31.50,835.10
8994,65.25,4.38,72.50,0.67,8.64,0.43,3.55,8.13,-74.00,-3.44,-29.69,-1.56,-30.06,835.20
9103,72.31,4.06,72.94,0.82,9.14,-0.14,3.20,-52.75,-17.62,16.31,-36.38,-0.06,-27.19,835.16
9207,77.94,0.25,72.62,1.27,9.16,-0.05,2.91,0.75,-64.00,4.88,-37.00,-0.19,-24.37,835.17
9314,84.44,-0.31,71.19,1.13,9.41,0.06,0.54,-15.81,-31.06,10.13,-39.56,0.56,-19.19,835.19
9422,87.25,-1.25,71.31,0.38,9.28,0.10,-0.04,0.37,-19.75,6.06,-40.88,1.50,-19.19,835.14
9529,87.62,-2.13,71.19,0.51,9.61,-0.12,0.17,2.81,-14.81,-0.31,-40.06,1.06,-18.00,835.22
9633,88.25,-178.31,71.25,0.52,9.43,-0.16,-0.12,0.44,-14.69,-6.63,-43.38,2.19,-17.50,835.25
9754,88.44,-178.63,73.87,1.42,9.97,-0.32,1.20,-14.19,1.88,5.88,-41.50,2.38,-14.38,835.22
9863,88.25,-178.31,74.75,0.52,9.51,-0.08,-0.18,-3.00,-8.13,5.31,-40.69,3.06,-15.56,835.16
9973,87.62,-177.94,74.87,0.52,9.79,-0.33,2.11,-6.44,-1.25,2.06,-41.75,1.50,-15.19,835.16
10088,87.12,-177.81,74.69,1.14,9.51,-0.23,-0.19,1.56,-3.06,-4.13,-41.75,2.88,-12.88,835.22
10211,87.56,-178.00,76.12,0.53,9.83,-0.25,0.88,-9.50,2.19,2.50,-40.69,3.25,-13.69,835.20
10319,87.19,-178.13,75.94,0.83,9.55,-0.19,-0.33,4.44,-9.06,1.12,-41.50,3.56,-14.38,835.19
10432,86.56,-177.94,75.56,0.37,9.72,-0.37,-0.45,1.88,-7.69,5.19,-41.00,3.19,-15.19,835.14
10539,85.81,-177.38,75.12,0.68,9.42,-0.41,-0.41,-0.37,-7.75,2.50,-42.75,3.56,-12.88,835.23
10647,85.25,-177.13,74.62,0.54,9.56,-0.49,-0.29,-7.06,4.19,2.38,-40.56,4.00,-11.69,835.20
10756,84.94,-176.81,74.19,0.84,9.38,-0.35,-0.64,-2.69,-0.25,4.38,-41.06,4.00,-12.50,835.16
10864,84.50,-176.38,73.69,0.68,9.85,-0.64,-0.75,-1.44,0.50,4.88,-42.50,4.75,-12.06,835.20
10973,83.75,-175.88,73.25,0.84,9.48,-0.58,-0.84,-1.75,-8.25,6.00,-42.88,5.00,-11.69,835.13
11085,83.00,-139.06,72.87,0.69,9.35,-0.61,-0.90,-2.19,4.56,4.63,-42.06,4.38,-12.88,835.14
11194,83.00,-138.69,72.69,0.53,9.32,-0.70,-0.85,0.06,-0.94,0.31,-41.06,5.06,-9.69,835.20
11300,82.94,-136.06,72.56,0.83,9.68,-0.71,-0.75,-2.31,-1.56,3.88,-41.50,5.50,-11.25,835.19
11409,83.06,-134.19,72.75,0.83,9.57,-0.66,-0.32,-4.19,10.69,-2.25,-42.06,5.50,-10.88,835.25
11517,83.75,-175.38,73.19,0.53,9.39,-0.68,-0.77,5.06,-2.31,-0.81,-41.75,6.25,-12.88,835.17
11632,83.37,-175.19,72.81,0.68,9.86,-0.66,-0.67,4.81,-6.63,-1.31,-42.88,5.50,-11.69,835.17
11741,83.19,-175.13,72.62,1.14,9.49,-0.94,-0.80,-5.50,2.00,0.44,-42.50,5.50,-13.69,835.22
11847,82.87,-134.75,72.94,1.28,9.09,-0.79,-0.56,1.44,-6.13,1.25,-43.25,6.56,-10.50,835.10
11954,82.56,-136.31,72.56,0.68,9.54,-0.88,-0.91,0.94,1.06,-1.81,-42.50,5.88,-10.88,835.23
12064,82.62,-137.13,72.50,0.38,9.62,-0.55,-0.61,-0.88,5.63,-2.56,-42.06,5.88,-11.25,835.20
12175,83.81,-175.63,73.12,0.83,9.72,-0.75,-0.45,-5.25,13.81,-6.75,-42.50,5.88,-12.06,835.17
12288,84.69,-176.25,73.81,0.98,9.63,-0.68,-0.71,1.25,-3.25,-0.94,-42.06,5.06,-13.69,835.22
12394,84.50,-176.25,73.87,0.68,9.60,-0.52,-0.30,-2.88,1.88,0.00,-42.06,3.69,-14.06,835.16
12505,84.87,-176.31,74.19,0.85,9.76,-0.74,-0.56,2.19,0.94,1.63,-41.50,5.06,-12.00,835.13
12611,84.69,-176.13,73.94,0.98,9.23,-0.52,-0.64,-13.81,-1.50,2.81,-41.75,5.06,-12.06,835.16
12720,84.69,-175.88,73.69,0.83,9.84,-0.57,-0.22,-2.88,10.13,2.25,-41.50,5.50,-12.88,835.14
12828,85.31,-192.00,74.06,0.99,9.35,-0.58,-0.48,6.63,1.06,-8.25,-41.06,5.06,-12.06,835.17
12941,86.19,-176.50,74.44,0.69,9.67,-0.51,0.26,-15.31,28.94,1.31,-41.75,4.75,-14.38,835.13
13047,86.31,-3.56,75.44,0.84,9.55,-0.44,0.91,-13.63,34.75,3.69,-41.75,4.75,-15.19,835.17
13154,84.06,-3.63,76.75,0.69,9.49,-0.68,1.58,8.06,36.50,-0.88,-38.50,5.50,-16.75,835.16
13258,80.31,-18.81,77.44,1.15,9.13,-0.43,2.90,-11.31,51.50,-6.50,-37.50,5.19,-19.87,835.19
13369,75.56,-10.06,78.81,1.15,9.48,-0.39,2.41,-20.25,68.50,-3.31,-37.06,3.00,-22.25,835.19
13481,67.25,-7.06,80.94,0.55,5.48,-0.66,3.05,-16.81,92.00,-4.56,-33.06,5.06,-27.50,835.17
13588,56.88,-6.25,82.56,1.15,7.53,-0.56,4.95,6.25,73.25,4.06,-28.00,4.88,-32.50,835.20
13694,46.38,-6.94,83.31,0.69,6.78,-1.19,7.22,24.87,70.87,-0.94,-22.69,6.00,-37.00,835.14
13801,38.38,-3.88,352.44,0.69,5.51,-0.36,7.31,57.69,64.19,-0.81,-17.25,5.56,-39.75,835.16
13910,28.19,-2.69,351.81,0.69,4.08,-0.48,8.49,21.87,130.13,-8.00,-7.00,4.75,-41.19,835.16
14016,14.44,-0.19,351.13,0.55,4.06,-0.14,7.35,22.37,92.44,-27.75,2.38,2.56,-42.00,835.22
14127,4.75,0.31,352.56,0.69,1.27,0.23,11.02,26.25,16.37,-11.63,9.56,1.88,-42.00,835.14
14233,0.75,-0.75,352.88,0.69,-0.62,-0.19,10.91,-8.50,37.94,8.50,13.19,3.06,-41.88,835.08
14342,-2.63,-0.94,352.50,1.00,-1.28,-0.14,9.99,24.00,11.63,5.88,16.75,3.19,-41.69,835.19
14450,-3.56,-0.19,352.25,0.69,-0.82,-0.03,10.25,11.75,1.50,4.13,18.19,1.75,-41.69,835.16
14555,-3.63,-0.19,351.81,0.08,-0.89,-0.07,10.62,-1.63,-2.19,4.94,17.37,2.19,-39.69,835.23
14663,-3.06,0.44,351.25,0.40,-0.68,0.28,10.52,26.00,-14.88,4.31,16.37,3.00,-40.00,835.19
14776,-1.31,4.06,350.88,1.75,-0.20,1.12,10.65,38.75,-9.44,2.81,16.37,0.00,-40.69,835.17
14882,0.19,10.94,350.88,0.39,-1.24,2.21,8.44,92.25,-23.12,-5.56,16.37,-4.19,-41.56,835.16
14989,1.44,19.31,350.63,1.14,-0.01,3.02,9.35,88.31,-18.81,-2.06,14.50,-9.69,-41.88,835.13
15097,3.31,26.75,350.63,0.39,0.19,4.57,9.52,86.87,-22.94,7.44,14.38,-16.25,-43.50,835.19
15204,5.13,35.06,350.56,0.54,0.27,5.39,7.84,39.50,-7.00,9.25,14.25,-19.69,-41.56,835.19
15314,6.00,42.50,349.81,0.39,0.29,6.49,7.70,30.94,10.63,4.50,12.38,-25.56,-36.38,835.19
15421,5.13,48.56,349.19,0.39,0.17,7.33,6.03,85.87,-4.38,1.12,14.56,-29.19,-33.19,835.16
15527,5.06,55.25,279.25,0.68,0.50,7.52,5.94,84.62,6.75,-15.75,16.37,-33.06,-30.06,835.17
15634,3.81,65.31,279.56,0.38,-0.11,8.40,4.97,43.50,17.50,-15.25,14.88,-38.25,-24.87,835.19
15740,2.25,72.87,279.69,0.39,-0.11,8.86,2.60,48.19,9.56,-5.19,18.06,-41.00,-19.50,835.10
15849,1.88,77.44,279.25,1.28,0.37,9.22,2.81,58.56,7.88,-9.19,18.50,-41.75,-18.69,835.19
15960,1.12,83.62,279.75,0.68,-2.51,9.24,1.46,37.56,2.81,-9.25,18.06,-42.56,-14.00,835.14
16064,0.44,88.87,280.06,0.07,-0.57,9.43,0.10,4.00,5.69,-6.13,18.00,-43.06,-6.50,835.16
16171,0.06,90.81,280.25,0.52,-0.38,9.18,-0.08,-9.06,-3.25,-1.44,19.50,-44.38,-4.75,835.17
16277,0.00,91.25,280.44,0.53,-0.18,9.11,-0.84,-11.63,-5.63,0.69,20.56,-44.00,-4.06,835.13
16381,0.00,91.06,280.75,1.43,-0.22,9.05,-1.01,26.56,-3.00,-2.50,20.56,-44.38,-6.50,835.16
16490,-0.25,92.25,281.19,0.67,-0.39,9.11,-0.35,-4.00,0.63,1.69,19.87,-44.00,-4.50,835.23
16603,-0.37,92.19,281.25,0.22,-0.44,9.05,-0.86,-7.44,0.00,0.31,21.25,-44.38,-4.50,835.16
16711,-0.56,92.12,281.44,0.52,-0.50,9.26,-0.58,1.81,-2.25,-0.81,20.19,-44.69,-6.00,835.19
16818,-0.81,92.12,281.81,0.37,-0.66,9.27,-0.39,0.37,-0.69,-0.75,20.56,-43.56,-4.50,835.16
16924,-1.12,92.31,282.13,1.58,-0.44,9.15,-0.23,-6.31,1.81,-1.88,20.19,-43.19,-2.88,835.13
17033,-1.19,92.12,282.19,1.28,-0.15,9.04,-1.23,14.06,-3.44,-1.12,20.19,-44.38,-5.56,835.22
17139,-1.31,92.37,282.44,0.52,-0.53,9.16,0.05,-11.06,-0.94,-0.88,20.56,-43.56,-4.50,835.19
17252,-1.37,92.44,282.56,0.97,-0.43,9.17,-0.84,-0.56,-1.25,-1.69,19.06,-44.38,-4.50,835.17
17360,-1.56,92.44,282.75,0.97,-0.48,9.16,-0.55,5.38,-15.81,-0.19,21.25,-43.56,-6.75,835.10
17465,-1.63,92.50,282.88,0.82,-0.50,9.24,-0.47,6.13,-1.75,-0.12,19.50,-44.00,-5.25,835.23
17573,-1.69,92.69,283.13,0.66,-0.39,9.15,-0.62,1.12,-1.37,1.88,21.69,-43.19,-3.25,835.26
17680,-1.69,92.75,283.25,0.36,-0.44,9.07,-0.81,-2.06,15.25,1.06,21.25,-42.88,-4.50,835.19
17793,-1.69,92.44,283.25,1.11,-0.53,9.20,-0.53,3.44,-0.56,0.81,21.25,-44.38,-4.75,835.25
17899,-1.69,92.44,283.25,0.66,-0.76,9.14,-0.56,2.69,-1.19,-0.50,20.56,-44.00,-4.75,835.14
18008,-1.81,92.75,283.50,1.11,-0.40,9.12,-1.05,4.13,-1.00,1.19,21.25,-43.56,-5.56,835.20
18116,-1.81,92.69,283.50,0.81,-0.55,9.23,-0.61,0.63,-0.37,0.00,19.87,-43.56,-8.00,835.18
18225,-1.81,92.69,283.50,0.96,-0.29,9.20,-0.36,1.31,0.81,0.81,19.87,-43.56,-3.56,835.13
18331,-1.81,92.69,283.50,0.96,-0.34,9.16,-0.91,-0.50,0.31,0.75,19.87,-43.19,-2.88,835.23
18442,-1.81,92.50,283.56,0.20,-0.59,9.17,-0.47,-3.44,1.25,1.37,19.50,-43.56,-4.06,835.16
18550,-1.75,92.12,283.56,0.66,-0.77,9.43,-0.42,-4.81,-1.12,1.25,18.75,-43.56,-6.00,835.22
18677,-1.63,92.00,283.50,1.26,-0.21,9.16,-0.64,3.38,-1.31,-1.06,21.00,-43.56,-3.56,835.16
18784,-1.69,92.25,283.63,0.65,-0.43,9.10,-0.34,1.50,-0.69,0.00,19.87,-43.56,-3.56,835.15
18892,-1.75,92.25,283.75,0.80,-0.42,9.00,-0.88,-3.69,-2.69,0.25,20.19,-44.00,-5.25,835.10
18999,-1.56,91.56,283.75,0.20,-0.34,9.21,-0.38,-4.75,-0.44,0.81,20.19,-44.00,-5.25,835.21
19111,-1.37,90.37,283.63,0.81,-0.27,9.26,-0.15,-16.06,-1.12,4.44,19.87,-43.56,-6.50,835.15
19220,-1.12,88.19,283.50,0.64,-0.25,8.97,-0.50,-23.25,-2.25,-0.50,19.50,-44.00,-9.56,835.21
19326,-1.06,84.94,283.56,1.40,-0.30,9.00,0.50,-17.25,-6.38,4.06,21.25,-42.50,-10.00,835.16
19433,-0.50,81.44,283.44,0.64,0.05,8.80,0.22,-51.44,-9.56,8.88,19.50,-42.19,-12.38,835.18
19542,0.94,75.50,282.63,1.10,0.56,8.52,1.13,-107.50,8.13,20.44,16.56,-41.00,-16.00,835.13
19658,1.88,63.56,279.63,0.94,0.44,8.30,2.10,-39.00,-25.69,14.56,15.88,-37.75,-24.56,835.16
19767,2.81,55.06,278.56,1.09,0.39,7.05,4.87,-49.50,-20.50,14.88,14.69,-35.00,-29.75,835.16
19873,4.44,47.31,278.13,0.49,0.88,6.65,5.78,-52.38,-33.06,19.37,13.69,-31.69,-33.69,835.21
19980,6.31,38.13,277.19,0.65,1.52,4.83,8.03,-95.94,-15.50,12.50,12.19,-23.00,-37.69,835.21
20084,7.88,25.69,276.38,1.26,1.44,3.18,9.73,-115.31,-10.56,5.19,10.38,-16.75,-40.06,835.20
20191,8.38,12.06,276.19,1.27,1.19,0.74,12.41,-148.13,-6.06,2.88,8.50,-6.38,-44.06,835.13
20301,9.00,0.81,276.31,0.36,0.57,-0.75,10.29,-174.19,38.25,19.81,7.50,2.38,-44.88,835.16
20408,5.63,-14.25,276.38,0.36,0.52,-3.81,9.71,-221.88,74.81,6.75,9.25,14.19,-41.38,835.23
20516,-1.31,-34.19,277.13,0.22,-1.03,-6.37,8.97,-132.56,54.56,-7.50,11.88,26.19,-36.00,835.23
20627,-2.88,-45.63,106.31,0.67,-0.53,-7.79,6.36,-82.50,-8.44,-22.94,14.38,34.06,-29.25,835.13
